seg_id	poem_id	average_all_annotators	sen_score	dictionary		
457	372	-0.7514	-4.7619	nativeODM_sentiment		
468	382	-0.0267	-66.6667	nativeODM_sentiment		
470	384	-0.3657	0	nativeODM_sentiment		
472	386	-0.1138	-12.5	nativeODM_sentiment		
474	388	-0.4971	0	nativeODM_sentiment		
484	397	-0.0411	0	nativeODM_sentiment		
485	398	-0.6978	5.88235	nativeODM_sentiment		
495	400	-0.0078	3.33333	nativeODM_sentiment		
497	400	-0.0217	-4.54545	nativeODM_sentiment		
500	401	-0.6111	2.5	nativeODM_sentiment		
504	402	-0.2798	0	nativeODM_sentiment		
507	404	-0.4111	3.33333	nativeODM_sentiment		
517	411	-0.55	0	nativeODM_sentiment		
519	412	-0.4889	-3.1746	nativeODM_sentiment		
524	415	-0.4364	4.65116	nativeODM_sentiment		
529	417	-0.4917	5.12821	nativeODM_sentiment		
533	419	-0.7633	-2.27273	nativeODM_sentiment		
534	419	-0.2778	-2.22222	nativeODM_sentiment		
536	420	-0.3979	-1.69492	nativeODM_sentiment		
540	421	-0.51	12.1951	nativeODM_sentiment		
541	422	-0.254	-4.34783	nativeODM_sentiment		
543	424	-0.64	-9.52381	nativeODM_sentiment		
550	431	-0.6067	0	nativeODM_sentiment		
554	435	-0.42	0	nativeODM_sentiment		
558	439	-0.1583	-11.1111	nativeODM_sentiment		
561	442	-0.745	0	nativeODM_sentiment		
562	442	-0.4645	5.26316	nativeODM_sentiment		
568	448	-0.8533	3.38983	nativeODM_sentiment		
571	451	-0.6905	0	nativeODM_sentiment		
572	452	-0.9	0	nativeODM_sentiment		
573	453	-0.827	-3.84615	nativeODM_sentiment		
574	454	-0.8378	-7.14286	nativeODM_sentiment		
575	455	-0.575	-4.65116	nativeODM_sentiment		
576	456	-0.6933	-6	nativeODM_sentiment		
581	460	-0.5433	3.33333	nativeODM_sentiment		
582	461	-0.8	7.69231	nativeODM_sentiment		
586	463	-0.81	0	nativeODM_sentiment		
590	464	-0.92	0	nativeODM_sentiment		
591	464	-0.9778	0	nativeODM_sentiment		
592	465	-0.95	4.7619	nativeODM_sentiment		
594	468	-0.95	-2.85714	nativeODM_sentiment		
597	471	-0.9778	5.88235	nativeODM_sentiment		
601	475	-0.9167	5.55556	nativeODM_sentiment		
602	476	-0.9064	-10	nativeODM_sentiment		
603	477	-1.0	-10.7143	nativeODM_sentiment		
606	480	-0.6367	-13.7931	nativeODM_sentiment		
607	481	-1.0	0	nativeODM_sentiment		
609	481	-0.8133	-2	nativeODM_sentiment		
611	482	-0.9267	1.6129	nativeODM_sentiment		
613	482	-1.0	-7.24638	nativeODM_sentiment		
614	483	-0.46	0	nativeODM_sentiment		
1	1	-0.3	0	KNU_sentiment		
4	4	-0.8933	-6.25	KNU_sentiment		
7	6	-0.14	-3.57143	KNU_sentiment		
9	8	-0.735	-8.69565	KNU_sentiment		
12	11	-0.15	6.25	KNU_sentiment		
22	21	-0.1867	-12.5	KNU_sentiment		
23	22	-0.76	9.09091	KNU_sentiment		
24	23	-0.8114	-20	KNU_sentiment		
26	25	-1.0	0	KNU_sentiment		
27	26	-0.675	-9.52381	KNU_sentiment		
30	29	-0.0476	6.25	KNU_sentiment		
32	31	-0.3071	0	KNU_sentiment		
33	32	-0.8643	-5.55556	KNU_sentiment		
34	33	-0.5257	0	KNU_sentiment		
37	36	-0.76	-6.81818	KNU_sentiment		
39	38	-0.8889	6.89655	KNU_sentiment		
40	39	-0.5976	-3.84615	KNU_sentiment		
44	43	-0.4167	3.22581	KNU_sentiment		
48	47	-0.5321	-9.52381	KNU_sentiment		
53	52	-0.3217	-1.92308	KNU_sentiment		
57	56	-0.52	-8.69565	KNU_sentiment		
63	62	-0.2	-8.33333	KNU_sentiment		
64	63	-0.7467	-9.52381	KNU_sentiment		
89	88	-0.581	-20	KNU_sentiment		
91	90	-0.85	0	KNU_sentiment		
92	91	-0.7	-10	KNU_sentiment		
96	95	-0.7667	-5.88235	KNU_sentiment		
100	99	-0.9181	0	KNU_sentiment		
104	103	-0.23	0	KNU_sentiment		
108	484	-0.5857	-5.88235	KNU_sentiment		
111	109	-0.2	-5.88235	KNU_sentiment		
112	110	-0.66	0	KNU_sentiment		
113	111	-0.1689	-12.5	KNU_sentiment		
